"","from","to"
"3346","CEBPG","POLR2M"
"3347","CEBPG","PLAU"
"3348","CEBPG","CREB3"
"3349","GPS2","RALBP1"
"3350","GPS2","SESTD1"
"3351","GPS2","TP53"
"3352","GPS2","HDAC1"
"3353","GPS2","NCOR2"
"3354","GPS2","HDAC3"
"3355","GPS2","CHD3"
"3356","GPS2","NCOR1"
"3357","GPS2","CNOT2"
"3358","ATOX1","GGPS1"
"3359","ATP5A1","ATP5B"
"3360","ATP5A1","CSNK2A1"
"3361","ATP5A1","YWHAQ"
"3362","ATP5A1","APP"
"3363","ATP5A1","PTEN"
"3364","ATP5B","PSME3"
"3365","ATP5B","CDK4"
"3366","ATP5B","CDKN1A"
"3367","ATP5B","SMN2"
"3368","ATP5B","PIN1"
"3369","ATP5B","ANXA7"
"3370","ATP5B","HMOX2"
"3371","ATP5B","ATPAF1"
"3372","ATP6V0C","MSR1"
"3373","ATP6V0C","PSMA3"
"3374","ATP6V0C","SMIM3"
"3375","ATP6V0C","MARK3"
"3376","ATP6V0C","CLIC1"
"3377","ATP6V0C","CERS2"
"3378","ATP6V0C","CREB3"
"3379","MSR1","MALL"
"3380","MSR1","HSPA1A"
"3381","MSR1","LEPROTL1"
"3382","PSMA3","CDKN1A"
"3383","PSMA3","RBFOX2"
"3384","PSMA3","CRYAB"
"3385","PSMA3","CSNK2A1"
"3386","PSMA3","CYBA"
"3387","PSMA3","SERF2"
"3388","PSMA3","DVL1"
"3389","PSMA3","PRR13"
"3390","PSMA3","YPEL3"
"3391","PSMA3","PATL1"
"3392","PSMA3","LASP1"
"3393","PSMA3","PSMA4"
"3394","PSMA3","TBC1D16"
"3395","PSMA3","PSMA6"
"3396","PSMA3","PSMB4"
"3397","PSMA3","RAB3IL1"
"3398","PSMA3","STX4"
"3399","PSMA3","SF1"
"3400","PSMA3","FBXO7"
"3401","PSMA3","CCDC69"
"3402","PSMA3","SH3KBP1"
"3403","PSMA3","RBM42"
"3404","PSMA3","C14orf159"
"3405","PSMA3","SNRPF"
"3406","PSMA3","NUMBL"
"3407","PSMA3","YWHAQ"
"3408","PSMA3","PML"
"3409","PSMA3","PRRC2A"
"3410","PSMA3","EGR1"
"3411","PSMA3","PSMB5"
"3412","PSMA3","XRN2"
"3413","PSMA3","HSPB1"
"3414","PSMA3","MDM2"
"3415","PSMA3","PSMD1"
"3416","PSMA3","RERE"
"3417","PSMA3","ATN1"
"3418","PSMA3","PSMA7"
"3419","PSMA3","HNRNPA2B1"
"3420","PSMA3","PRNP"
"3421","PSMA3","TCF7L2"
"3422","PSMA3","DDX5"
"3423","PSMA3","LBP"
"3424","PSMA3","POMP"
"3425","PSMA3","PSMA2"
"3426","PSMA3","OSR2"
"3427","SMIM3","PNMA1"
"3428","SMIM3","EMP1"
"3429","SMIM3","PMP22"
"3430","ATP5O","PNMA1"
"3431","ATP5O","NT5C2"
"3432","ATP5O","APP"
"3433","PNMA1","UBQLN1"
"3434","PNMA1","PIN1"
"3435","PNMA1","CCNG1"
"3436","PNMA1","KANSL1"
"3437","PNMA1","SNRPB2"
"3438","PNMA1","GEM"
"3439","PNMA1","DCTN4"
"3440","PNMA1","POLDIP3"
"3441","PNMA1","SPG7"
"3442","PNMA1","ASMTL"
"3443","PNMA1","TXNDC9"
"3444","PNMA1","FAM107A"
"3445","PNMA1","VBP1"
"3446","PNMA1","MRPL10"
"3447","PNMA1","MRPL23"
"3448","PNMA1","CARHSP1"
"3449","PNMA1","SCAND1"
"3450","PNMA1","MED8"
"3451","PNMA1","FMNL2"
"3452","PNMA1","KAT2B"
"3453","PNMA1","CHMP2B"
"3454","PNMA1","SEMA4C"
"3455","PNMA1","SLIRP"
"3456","NT5C2","FXR2"
"3457","NT5C2","CALM1"
"3458","NT5C2","MOB3C"
"3459","BAD","BCL2L1"
"3460","BAD","BCL2A1"
"3461","BAD","BCL2L2"
"3462","BAD","CDKN1A"
"3463","BAD","BNIP3L"
"3464","BAD","KEAP1"
"3465","BAD","EWSR1"
"3466","BAD","SUMO2"
"3467","BAD","YWHAE"
"3468","BAD","YWHAG"
"3469","BAD","YWHAQ"
"3470","BAD","MCL1"
"3471","BAD","YWHAZ"
"3472","BAD","BCL2"
"3473","BAD","PRKACA"
"3474","BAD","YWHAH"
"3475","BAD","YWHAB"
"3476","BAD","S100A10"
"3477","BAD","RAF1"
"3478","BAD","PRDX2"
"3479","BCL2L1","BNIP3"
"3480","BCL2L1","BNIP3L"
"3481","BCL2L1","CRYAB"
"3482","BCL2L1","TPT1"
"3483","BCL2L1","ZNF219"
"3484","BCL2L1","PPP1CA"
"3485","BCL2L1","RTN4"
"3486","BCL2L1","BCAP31"
"3487","BCL2L1","PARK7"
"3488","BCL2L1","PPHLN1"
"3489","BCL2L1","TP53"
"3490","BCL2L1","HNRNPA1"
"3491","BCL2L1","BCL2"
"3492","BCL2L1","BECN1"
"3493","BCL2L1","BAX"
"3494","BCL2L1","TLE1"
"3495","BCL2L1","ZHX1"
"3496","BCL2L1","FKBP8"
"3497","BCL2L1","VDAC1"
"3498","BCL2L1","RAF1"
"3499","BCL2L1","PTN"
"3500","BCL2L1","PSEN1"
"3501","BCL2L1","CREB3"
"3502","BCL2L1","RBM5"
"3503","BCL2L1","LARP1"
"3504","BCL2L1","PDIA4"
"3505","BCL2L1","METTL23"
"3506","BCL2L1","GLOD4"
"3507","BCL2L1","PLD3"
"3508","HSPA8","TADA3"
"3509","HSPA8","SGTA"
"3510","HSPA8","HGS"
"3511","HSPA8","ERH"
"3512","HSPA8","NMI"
"3513","HSPA8","HSPA4"
"3514","HSPA8","BAG3"
"3515","HSPA8","STMN1"
"3516","HSPA8","LDHA"
"3517","HSPA8","VHL"
"3518","HSPA8","PPID"
"3519","HSPA8","RGS2"
"3520","HSPA8","SUMO2"
"3521","HSPA8","TTC1"
"3522","HSPA8","UBC"
"3523","HSPA8","STUB1"
"3524","HSPA8","CYCS"
"3525","HSPA8","CCAR2"
"3526","HSPA8","TP53"
"3527","HSPA8","EGFR"
"3528","HSPA8","BCR"
"3529","HSPA8","ABL1"
"3530","HSPA8","TNFRSF1A"
"3531","HSPA8","IL16"
"3532","HSPA8","HDAC3"
"3533","HSPA8","HSF1"
"3534","HSPA8","JUN"
"3535","HSPA8","STIP1"
"3536","HSPA8","PTEN"
"3537","HSPA8","DNAJA1"
"3538","HSPA8","GOT2"
"3539","HSPA8","ST13"
"3540","HSPA8","TGM2"
"3541","HSPA8","DNAJB1"
"3542","HSPA8","SRRT"
"3543","HSPA8","CAPZA1"
"3544","HSPA8","CAPZB"
"3545","HSPA8","TM4SF1"
"3546","HSPA8","DNAJC7"
"3547","HSPA8","CLTA"
"3548","HSPA8","IL32"
"3549","PSMD2","CALM1"
"3550","PSMD2","ZBTB16"
"3551","PSMD2","UBE3C"
"3552","PSMD2","UBXN6"
"3553","PSMD2","PSMD5"
"3554","PSMD2","PSMC2"
"3555","PSMD2","NUB1"
"3556","PSMD2","CCT2"
"3557","PSMD2","ADRM1"
"3558","PSMD2","TNFRSF1A"
"3559","PSMD2","FKBP8"
"3560","PSMD2","PTN"
"3561","PSMD2","UBLCP1"
"3562","PSMD2","FAF2"
"3563","BCL2A1","APP"
"3564","BCL2A1","BAX"
"3565","BCL2A1","BOK"
"3566","BCL2L2","PPP1CA"
"3567","BCL2L2","TP53"
"3568","BBS2","PSME3"
"3569","BBS2","EXOC7"
"3570","BBS2","EEF1A1"
"3571","BBS2","EPAS1"
"3572","PSME3","FXR2"
"3573","PSME3","KANSL1"
"3574","PSME3","SERF2"
"3575","PSME3","ZCCHC10"
"3576","PSME3","PRR13"
"3577","PSME3","SPG7"
"3578","PSME3","PFDN5"
"3579","PSME3","FBXO7"
"3580","PSME3","YWHAQ"
"3581","PSME3","TP53"
"3582","PSME3","CREBBP"
"3583","PSME3","HSPA5"
"3584","PSME3","NCOA3"
"3585","PSME3","MDM2"
"3586","PSME3","SIRT1"
"3587","PSME3","ATN1"
"3588","PSME3","ITPKB"
"3589","PSME3","KLF2"
"3590","CCND1","CDK4"
"3591","CCND1","CDKN1A"
"3592","CCND1","CDKN1B"
"3593","CCND1","STAT3"
"3594","CCND1","PCNA"
"3595","CCND1","ATF2"
"3596","CCND1","CRYAB"
"3597","CCND1","NPDC1"
"3598","CCND1","RB1"
"3599","CCND1","RABEP1"
"3600","CCND1","RBL2"
"3601","CCND1","RANBP9"
"3602","CCND1","XPO1"
"3603","CCND1","UBTF"
"3604","CCND1","THRB"
"3605","CCND1","NCOA1"
"3606","CCND1","MAPK11"
"3607","CCND1","LPL"
"3608","CCND1","CAMK1"
"3609","CCND1","CDKN1C"
"3610","CCND1","FBXO31"
"3611","CCND1","CDH13"
"3612","CDK4","CDKN1A"
"3613","CDK4","CDKN1B"
"3614","CDK4","CAPNS1"
"3615","CDK4","CCND3"
"3616","CDK4","CDKN2C"
"3617","CDK4","CDKN2B"
"3618","CDK4","DAZAP2"
"3619","CDK4","BAG6"
"3620","CDK4","ZBTB16"
"3621","CDK4","ZNF219"
"3622","CDK4","SKP1"
"3623","CDK4","MAPRE2"
"3624","CDK4","LUC7L2"
"3625","CDK4","PKM"
"3626","CDK4","PSMD10"
"3627","CDK4","DDAH2"
"3628","CDK4","APP"
"3629","CDK4","RB1"
"3630","CDK4","RBL2"
"3631","CDK4","UBTF"
"3632","CDK4","CEBPA"
"3633","CDK4","MYC"
"3634","CDK4","H1F0"
"3635","CDK4","ANXA7"
"3636","CDK4","SMAD2"
"3637","CDK4","CDC37"
"3638","CDK4","MARCKS"
"3639","CDK4","CAMK1"
"3640","CDK4","RPL34"
"3641","CDK4","PGD"
"3642","CDK4","SLBP"
"3643","CDK4","TSPYL2"
"3644","CDK4","CIB1"
"3645","CDK4","SENP3"
"3646","CDK4","VTA1"
"3647","CDKN1A","PDE4DIP"
"3648","CDKN1A","TNIP1"
"3649","CDKN1A","CCND3"
"3650","CDKN1A","PCNA"
"3651","CDKN1A","NPM1"
"3652","CDKN1A","BAG6"
"3653","CDKN1A","PIM1"
"3654","CDKN1A","ZBTB16"
"3655","CDKN1A","TSG101"
"3656","CDKN1A","INPP5K"
"3657","CDKN1A","NR1H2"
"3658","CDKN1A","SET"
"3659","CDKN1A","PKM"
"3660","CDKN1A","VIM"
"3661","CDKN1A","FLAD1"
"3662","CDKN1A","CPNE2"
"3663","CDKN1A","SUMO3"
"3664","CDKN1A","OTUB1"
"3665","CDKN1A","OPTN"
"3666","CDKN1A","BCCIP"
"3667","CDKN1A","CCT7"
"3668","CDKN1A","YWHAQ"
"3669","CDKN1A","CCDC85B"
"3670","CDKN1A","DDAH2"
"3671","CDKN1A","NRBP1"
"3672","CDKN1A","HDAC2"
"3673","CDKN1A","TP53"
"3674","CDKN1A","HDAC1"
"3675","CDKN1A","APP"
"3676","CDKN1A","RB1"
"3677","CDKN1A","CENPB"
"3678","CDKN1A","TXN"
"3679","CDKN1A","GADD45A"
"3680","CDKN1A","EEF1A1"
"3681","CDKN1A","NOV"
"3682","CDKN1A","NGFR"
"3683","CDKN1A","AKT2"
"3684","CDKN1A","TLE1"
"3685","CDKN1A","MDM2"
"3686","CDKN1A","CEBPA"
"3687","CDKN1A","GAPDH"
"3688","CDKN1A","USP4"
"3689","CDKN1A","PARP1"
"3690","CDKN1A","HDAC6"
"3691","CDKN1A","RAB1A"
"3692","CDKN1A","HADHB"
"3693","CDKN1A","CLEC3B"
"3694","CDKN1A","CSNK2B"
"3695","CDKN1A","CHGB"
"3696","CDKN1A","COPS6"
"3697","CDKN1A","S100A8"
"3698","CDKN1A","CTSB"
"3699","CDKN1A","GNB2"
"3700","CDKN1A","CASP3"
"3701","CDKN1A","A2M"
"3702","CDKN1A","TUBA1A"
"3703","CDKN1A","DAPK3"
"3704","CDKN1A","TXNDC11"
"3705","CDKN1A","RPL35"
"3706","CDKN1A","LATS2"
"3707","CDKN1A","VPS51"
"3708","CDKN1A","TNIP2"
"3709","CDKN1A","PDHB"
"3710","CDKN1A","CSAD"
"3711","CDKN1A","RPS2"
"3712","CDKN1A","HOXD8"
"3713","CDKN1A","CIZ1"
"3714","CDKN1A","EXT2"
"3715","CDKN1A","F13A1"
"3716","CDKN1A","WIZ"
"3717","CDKN1A","SDF4"
"3718","CDKN1A","TAF5L"
"3719","CDKN1A","ATP6V1A"
"3720","CDKN1A","RPL18"
"3721","CDKN1B","PIN1"
"3722","CDKN1B","CCND3"
"3723","CDKN1B","CDC34"
"3724","CDKN1B","KPNA4"
"3725","CDKN1B","PSMB1"
"3726","CDKN1B","KPNA1"
"3727","CDKN1B","MAPK10"
"3728","CDKN1B","SKP1"
"3729","CDKN1B","YES1"
"3730","CDKN1B","YWHAE"
"3731","CDKN1B","UBAC1"
"3732","CDKN1B","SGK1"
"3733","CDKN1B","YWHAZ"
"3734","CDKN1B","JAK2"
"3735","CDKN1B","ABL1"
"3736","CDKN1B","XPO1"
"3737","CDKN1B","CUL1"
"3738","CDKN1B","RFWD2"
"3739","CDKN1B","UBE2D2"
"3740","CDKN1B","COPS5"
"3741","CDKN1B","RBX1"
"3742","CDKN1B","LYN"
"3743","CDKN1B","MYC"
"3744","CDKN1B","UBE2B"
"3745","CDKN1B","KAT2B"
"3746","CDKN1B","YWHAB"
"3747","CDKN1B","IRF1"
"3748","CDKN1B","CAMK1"
"3749","CDKN1B","UBA1"
"3750","ZBTB7B","NCK2"
"3751","ZBTB7B","PIN1"
"3752","ZBTB7B","SH3KBP1"
"3753","ZBTB7B","IMP4"
"3754","ZBTB7B","NDN"
"3755","CUTC","NADSYN1"
"3756","CUTC","ASCC2"
"3757","BCL6B","PLSCR1"
"3758","BCL6B","HDAC1"
"3759","NUP62","TXLNA"
"3760","NUP62","PIN1"
"3761","NUP62","SMARCE1"
"3762","NUP62","KANSL1"
"3763","NUP62","SNAPC5"
"3764","NUP62","GOPC"
"3765","NUP62","NXF1"
"3766","NUP62","ADAM15"
"3767","NUP62","ISCU"
"3768","NUP62","CCDC53"
"3769","NUP62","IFT20"
"3770","NUP62","IK"
"3771","NUP62","KPNA1"
"3772","NUP62","BLOC1S6"
"3773","NUP62","NUP54"
"3774","NUP62","IKBIP"
"3775","NUP62","OGT"
"3776","NUP62","NUTF2"
"3777","NUP62","HSPB11"
"3778","NUP62","XPO1"
"3779","NUP62","RANBP2"
"3780","NUP62","SP1"
"3781","NUP62","NUP153"
"3782","NUP62","CLIC1"
"3783","NUP62","KPNB1"
"3784","NUP62","XPO6"
"3785","NUP62","FABP3"
"3786","AHCYL1","MEOX2"
"3787","AHCYL1","CDKN2C"
"3788","AHCYL1","HGS"
"3789","AHCYL1","GEM"
"3790","AHCYL1","PSMD9"
"3791","STAT3","RPL11"
"3792","STAT3","CAPNS1"
"3793","STAT3","SSSCA1"
"3794","STAT3","FHL2"
"3795","STAT3","NR4A1"
"3796","STAT3","ECH1"
"3797","STAT3","FYN"
"3798","STAT3","NMI"
"3799","STAT3","LASP1"
"3800","STAT3","CORO1A"
"3801","STAT3","KDM1A"
"3802","STAT3","HCK"
"3803","STAT3","HNRNPM"
"3804","STAT3","SPRY1"
"3805","STAT3","NUFIP2"
"3806","STAT3","ARFIP2"
"3807","STAT3","SRI"
"3808","STAT3","PPARD"
"3809","STAT3","KLF15"
"3810","STAT3","RAC1"
"3811","STAT3","RELA"
"3812","STAT3","TRIP10"
"3813","STAT3","PML"
"3814","STAT3","RPA2"
"3815","STAT3","CAPN1"
"3816","STAT3","RB1"
"3817","STAT3","EGFR"
"3818","STAT3","CREBBP"
"3819","STAT3","NR3C1"
"3820","STAT3","NFKB1"
"3821","STAT3","TRIM28"
"3822","STAT3","DTNA"
"3823","STAT3","MAPKAPK2"
"3824","STAT3","GTF2I"
"3825","STAT3","NCOA1"
"3826","STAT3","LYN"
"3827","STAT3","JUN"
"3828","STAT3","STAT6"
"3829","STAT3","PRKCD"
"3830","STAT3","CDK9"
"3831","STAT3","SETD7"
"3832","STAT3","GHR"
"3833","STAT3","ATF3"
"3834","STAT3","JAK1"
"3835","STAT3","HES1"
"3836","STAT3","PAFAH1B2"
"3837","STAT3","PIK3R1"
"3838","STAT3","ELP2"
"3839","STAT3","HLA-A"
"3840","STAT3","SCAF11"
"3841","STAT3","PTPN1"
"3842","STAT3","MAP3K13"
"3843","STAT3","PINK1"
"3844","STAT3","LAMB2"
"3845","STAT3","TWIST1"
"3846","STAT3","SH3BP2"
"3847","STAT3","NDUFA13"
"3848","STAT3","ASXL1"
"3849","STAT3","FGR"
"3850","STAT3","SRRT"
"3851","STAT3","MPZL1"
"3852","STAT3","GNL3"
"3853","STAT3","VPS39"
"3854","STAT3","BRWD1"
"3855","STAT3","RABGAP1"
"3856","STAT3","BCKDK"
"3857","STAT3","NFKBIZ"
"3858","STAT3","CNDP2"
"3859","STAT3","MNDA"
"3860","BLMH","RPL11"
"3861","BLMH","APP"
"3862","BLMH","TRIO"
"3863","BLMH","RPL29"
"3864","BLMH","ECSIT"
"3865","BMI1","PHC2"
"3866","BMI1","RING1"
"3867","BMI1","NDEL1"
"3868","BMI1","PCGF3"
"3869","BMI1","ZBTB16"
"3870","BMI1","UBE2D3"
"3871","BMI1","PKM"
"3872","BMI1","VPS11"
"3873","BMI1","USP7"
"3874","BMI1","IMMT"
"3875","BMI1","MAPK14"
"3876","BMI1","RNF114"
"3877","BMI1","MLLT1"
"3878","BMI1","CSNK2B"
"3879","BMI1","PTN"
"3880","BMI1","RRM1"
"3881","BMI1","USP11"
"3882","BMI1","SOCS2"
"3883","BMI1","CBX7"
"3884","BMI1","CBX6"
"3885","BMI1","TUSC3"
"3886","PHC2","RBM39"
"3887","PHC2","CRK"
"3888","PHC2","DRG1"
"3889","PHC2","POLR2L"
"3890","PHC2","PCGF2"
"3891","PHC2","AP1M1"
"3892","PHC2","PCGF3"
"3893","PHC2","PCGF5"
"3894","PHC2","LMO3"
"3895","PHC2","KDM1A"
"3896","PHC2","SCMH1"
"3897","PHC2","MCRS1"
"3898","PHC2","MAPK14"
"3899","PHC2","NCK1"
"3900","PHC2","MAPKAPK2"
"3901","PHC2","CSNK2B"
"3902","PHC2","RPL7"
"3903","PHC2","CRKL"
"3904","PHC2","ZMAT2"
"3905","PHC2","MAPKAPK3"
"3906","PHC2","AFG3L2"
"3907","PHC2","BSDC1"
"3908","RING1","PCGF2"
"3909","RING1","PCGF3"
"3910","RING1","PCGF5"
"3911","RING1","UBE2K"
"3912","RING1","UBE2D3"
"3913","RING1","UBE2E2"
"3914","RING1","UBE2E3"
"3915","RING1","USP7"
"3916","RING1","APP"
"3917","RING1","UBE2D2"
"3918","RING1","UBE2E1"
"3919","RING1","FHL1"
"3920","RING1","USP11"
"3921","RING1","CBX7"
"3922","RING1","CBX6"
"3923","NDEL1","MBIP"
"3924","NDEL1","SNAPC5"
"3925","NDEL1","LUC7L2"
"3926","NDEL1","XPA"
"3927","NDEL1","YWHAE"
"3928","NDEL1","YWHAG"
"3929","NDEL1","APP"
"3930","NDEL1","IMMT"
"3931","NDEL1","PAFAH1B1"
"3932","NDEL1","SNX6"
"3933","NDEL1","MRC2"
"3934","NDEL1","ANK2"
"3935","NDEL1","DIXDC1"
"3936","BNIP2","KLC1"
"3937","BNIP2","CDC42"
"3938","BNIP2","FGFR1"
"3939","BNIP2","BCL2"
"3940","BNIP2","CREB3"
"3941","BNIP2","ARHGAP1"
"3942","KLC1","KIF5B"
"3943","KLC1","APP"
"3944","KLC1","HSPB1"
"3945","BNIP3","BNIP3L"
"3946","BNIP3","KTN1"
"3947","BNIP3","MAP1LC3B"
"3948","BNIP3","BCL2"
"3949","BNIP3","RHEB"
"3950","BNIP3","CREB3"
"3951","BNIP3","TGM2"
"3952","BNIP3","CD47"
"3953","BNIP3","OPA1"
"3954","BNIP3L","EWSR1"
"3955","BNIP3L","MAP1LC3A"
"3956","BNIP3L","BCL2"
"3957","BNIP3L","GBP2"
"3958","BNIP3L","RHEB"
"3959","BNIP3L","ECM1"
"3960","BNIP3L","SMCO4"
"3961","BNIP3L","DUSP3"
"3962","KTN1","MEOX2"
"3963","KTN1","SGTA"
"3964","KTN1","EEF1D"
"3965","KTN1","RAC1"
"3966","KTN1","RHOG"
"3967","GMPPA","LSM8"
"3968","BTF3","TXLNA"
"3969","BTF3","ZDHHC17"
"3970","BTF3","APP"
"3971","BTF3","POLR2B"
"3972","BTF3","NACA"
"3973","BTF3","CSNK2B"
"3974","TXLNA","TNIP1"
"3975","TXLNA","MEOX2"
"3976","TXLNA","MBIP"
"3977","TXLNA","PPFIA1"
"3978","TXLNA","SMARCE1"
"3979","TXLNA","NMI"
"3980","TXLNA","CCDC53"
"3981","TXLNA","STX4"
"3982","TXLNA","BTF3L4"
"3983","TXLNA","NACA"
"3984","TXLNA","AZI2"
"3985","TXLNA","NSMCE2"
"3986","TXLNA","TXLNG"
"3987","BTG1","CNOT8"
"3988","BTG1","CNOT7"
"3989","BTG1","PRMT1"
"3990","BTG1","XRCC6"
"3991","BTG1","TUBA1A"
"3992","BTG1","RNF181"
"3993","CNOT8","PRMT1"
"3994","CNOT8","TOB2"
"3995","CNOT8","CNOT1"
"3996","CNOT8","BTG2"
"3997","BUB3","RPL37A"
"3998","BUB3","THRA"
"3999","BUB3","ZNF207"
"4000","BUB3","SUGT1"
"4001","BUB3","UBR5"
"4002","BUB3","TOP1"
"4003","BUB3","WBP4"
"4004","BUB3","UBA1"
"4005","BUB3","DYNLT3"
"4006","BUB3","EXOC3"
"4007","BUB3","CPNE1"
"4008","EMD","YTHDC1"
"4009","EMD","LMNA"
"4010","EMD","PSME1"
"4011","EMD","CTNNB1"
"4012","EMD","LPL"
"4013","EMD","COPS6"
"4014","EMD","CREB3"
"4015","EMD","ACTG2"
"4016","EMD","BANF1"
"4017","EPS8","SMARCE1"
"4018","EPS8","DVL1"
"4019","EPS8","HNRNPC"
"4020","EPS8","BAIAP2"
"4021","EPS8","ITGB5"
"4022","EPS8","BLOC1S6"
"4023","EPS8","PCM1"
"4024","EPS8","HOOK2"
"4025","EPS8","MAP1LC3B"
"4026","EPS8","CCDC85B"
"4027","EPS8","ARMC1"
"4028","EPS8","EGFR"
"4029","EPS8","XRCC6"
"4030","EPS8","SHC1"
"4031","EPS8","ABI1"
"4032","EPS8","MRPL20"
"4033","EPS8","NFKB2"
"4034","EPS8","TDP2"
"4035","EPS8","CSNK2B"
"4036","EPS8","MAP3K11"
"4037","EPS8","BCKDK"
"4038","EPS8","SF3B3"
"4039","EPS8","CXCL2"
"4040","EPS8","ALDH7A1"
"4041","EPS8","SCRN3"
"4042","SMN2","PDE4DIP"
"4043","SMN2","RBFOX2"
"4044","SMN2","SNRPD1"
"4045","SMN2","SNRPD2"
"4046","SMN2","LSM6"
"4047","SMN2","PPIG"
"4048","SMN2","CHTOP"
"4049","SMN2","BAG6"
"4050","SMN2","ZBTB16"
"4051","SMN2","EIF3G"
"4052","SMN2","KDM1A"
"4053","SMN2","VPS28"
"4054","SMN2","HNRNPUL1"
"4055","SMN2","HNRNPR"
"4056","SMN2","BLOC1S6"
"4057","SMN2","POLR1C"
"4058","SMN2","INPP5K"
"4059","SMN2","MPP1"
"4060","SMN2","PKM"
"4061","SMN2","PSME1"
"4062","SMN2","OSTF1"
"4063","SMN2","FLAD1"
"4064","SMN2","RPL13"
"4065","SMN2","SUMO3"
"4066","SMN2","LENG8"
"4067","SMN2","SNRPF"
"4068","SMN2","CARHSP1"
"4069","SMN2","LSM4"
"4070","SMN2","DDAH2"
"4071","SMN2","LSM7"
"4072","SMN2","JADE1"
"4073","SMN2","TP53"
"4074","SMN2","CENPB"
"4075","SMN2","EEF1A1"
"4076","SMN2","IMMT"
"4077","SMN2","BCL2"
"4078","SMN2","NGFR"
"4079","SMN2","RXRA"
"4080","SMN2","TLE1"
"4081","SMN2","SNRPD3"
"4082","SMN2","GAPDH"
"4083","SMN2","USP4"
"4084","SMN2","DHX9"
"4085","SMN2","POLR2A"
"4086","SMN2","HADHB"
"4087","SMN2","CCDC90B"
"4088","SMN2","COPS6"
"4089","SMN2","FBL"
"4090","SMN2","FUBP1"
"4091","SMN2","SNUPN"
"4092","SMN2","KPNB1"
"4093","SMN2","A2M"
"4094","SMN2","TUBA1A"
"4095","SMN2","CRIP2"
"4096","SMN2","NMT2"
"4097","SMN2","RBBP6"
"4098","SMN2","C19orf60"
"4099","SMN2","CSAD"
"4100","SMN2","RPS2"
"4101","SMN2","EXT2"
"4102","SMN2","WIZ"
"4103","SMN2","SDF4"
"4104","SMN2","ATP6V1A"
"4105","SMN2","LSM10"
"4106","SMN2","DMPK"
"4107","SMN2","KLHL5"
"4108","SMN2","FAM20C"
"4109","SMN2","COL4A2"
"4110","SMN2","MRPL37"
"4111","SMN2","NKIRAS2"
"4112","UBE2H","RELA"
"4113","UBE2H","RNF185"
"4114","UBE2H","RNF146"
"4115","UBE2H","JADE1"
"4116","UBE2H","TRIM28"
"4117","UBE2H","RNF4"
"4118","UBE2H","EPS15"
"4119","UBE2H","RNF114"
"4120","UBE2H","RNF10"
"4121","UBE2H","HDAC6"
"4122","UBE2H","UBA1"
"4123","UBE2H","MARCH2"
"4124","UBE2H","RNF139"
"4125","UBE2H","RNF38"
"4126","UBE2H","RNF6"
"4127","UBE2H","CD99"
"4128","FXR2","MORF4L1"
"4129","FXR2","CAMK2D"
"4130","FXR2","NCK2"
"4131","FXR2","MBIP"
"4132","FXR2","SSSCA1"
"4133","FXR2","AMOTL2"
"4134","FXR2","RBMX"
"4135","FXR2","BAZ2B"
"4136","FXR2","NONO"
"4137","FXR2","AP1M1"
"4138","FXR2","HNRNPC"
"4139","FXR2","EWSR1"
"4140","FXR2","PIM1"
"4141","FXR2","KIAA1217"
"4142","FXR2","FMR1"
"4143","FXR2","FTH1"
"4144","FXR2","ARL6IP1"
"4145","FXR2","LASP1"
"4146","FXR2","LCP2"
"4147","FXR2","MCRS1"
"4148","FXR2","NME1"
"4149","FXR2","PCBD1"
"4150","FXR2","RPIA"
"4151","FXR2","YES1"
"4152","FXR2","RTN3"
"4153","FXR2","RABAC1"
"4154","FXR2","RTN4"
"4155","FXR2","SNAP23"
"4156","FXR2","PAF1"
"4157","FXR2","PAICS"
"4158","FXR2","CCDC85B"
"4159","FXR2","MEAF6"
"4160","FXR2","AP2M1"
"4161","FXR2","NDN"
"4162","FXR2","FXR1"
"4163","FXR2","CYFIP1"
"4164","FXR2","ZMAT2"
"4165","FXR2","POM121"
"4166","FXR2","MIA3"
"4167","FXR2","MRPL43"
"4168","PDE4DIP","KDM1A"
"4169","PDE4DIP","CHCHD3"
"4170","PDE4DIP","FCHSD2"
"4171","PDE4DIP","ZFYVE21"
"4172","PDE4DIP","MAPRE1"
"4173","PDE4DIP","NAA10"
"4174","PDE4DIP","LAMTOR3"
"4175","PDE4DIP","MIF4GD"
"4176","PDE4DIP","ZBTB38"
"4177","PDE4DIP","IMMT"
"4178","PDE4DIP","FES"
"4179","PDE4DIP","PFDN1"
"4180","PDE4DIP","PRNP"
"4181","PDE4DIP","ITSN2"
"4182","PDE4DIP","OSGEP"
"4183","PDE4DIP","FHL1"
"4184","PDE4DIP","ADH1B"
"4185","TNIP1","MORF4L1"
"4186","TNIP1","PIN1"
"4187","TNIP1","CCNG1"
"4188","TNIP1","FAM168A"
"4189","TNIP1","AP1M1"
"4190","TNIP1","EFEMP1"
"4191","TNIP1","TAX1BP1"
"4192","TNIP1","RALBP1"
"4193","TNIP1","GTF2B"
"4194","TNIP1","TYRO3"
"4195","TNIP1","MAPK10"
"4196","TNIP1","SELPLG"
"4197","TNIP1","RARA"
"4198","TNIP1","MOB3C"
"4199","TNIP1","SUMO2"
"4200","TNIP1","RABAC1"
"4201","TNIP1","GABARAPL2"
"4202","TNIP1","UBC"
