"","from","to"
"79","MDFI","ZNF266"
"80","MDFI","PGLS"
"81","MDFI","NPDC1"
"82","MDFI","CXCL16"
"83","MDFI","FBXW5"
"84","MDFI","TCEB3"
"85","MDFI","VPS72"
"86","MDFI","NR1H2"
"87","MDFI","VHL"
"88","MDFI","GTF3C5"
"89","MDFI","NR1H3"
"90","MDFI","DCAF8"
"91","MDFI","AVPI1"
"92","MDFI","C22orf39"
"93","MDFI","AASDHPPT"
"94","MDFI","TIE1"
"95","MDFI","FASTK"
"96","MDFI","TINAGL1"
"97","MDFI","KIAA0408"
"98","MDFI","MVP"
"99","MDFI","FES"
"100","MDFI","ATN1"
"101","MDFI","TSC2"
"102","MDFI","TAP1"
"103","MDFI","SLC25A10"
"104","MDFI","PVRL2"
"105","MDFI","PTPMT1"
"106","MDFI","WNT11"
"107","MDFI","KIAA0040"
"108","MDFI","TUSC2"
"109","MDFI","DAAM2"
"110","MDFI","DNPEP"
"111","MDFI","DDX19A"
"112","MDFI","RABL6"
"113","MDFI","NDUFA7"
"114","MDFI","PDGFB"
"115","MDFI","PHLDA1"
"116","MDFI","DUSP6"
"117","MDFI","C19orf60"
"118","MDFI","CPSF3L"
"119","LNX1","GRB2"
"120","LNX1","CALCOCO2"
"121","LNX1","NEK6"
"122","LNX1","LDOC1"
"123","LNX1","LSM2"
"124","LNX1","TSC22D4"
"125","LNX1","ALDOC"
"126","LNX1","AGTRAP"
"127","LNX1","PKP4"
"128","LNX1","JOSD1"
"129","LNX1","RHOC"
"130","LNX1","KXD1"
"131","LNX1","MAPK9"
"132","LNX1","CUTC"
"133","LNX1","DDX17"
"134","LNX1","MRFAP1L1"
"135","LNX1","SAT1"
"136","LNX1","NCK2"
"137","LNX1","NAGK"
"138","LNX1","CIRBP"
"139","LNX1","RBMX"
"140","LNX1","CTBP1"
"141","LNX1","DVL3"
"142","LNX1","ZCCHC10"
"143","LNX1","VCP"
"144","LNX1","PRR13"
"145","LNX1","GDI1"
"146","LNX1","PQBP1"
"147","LNX1","ISCU"
"148","LNX1","HSBP1"
"149","LNX1","ILF3"
"150","LNX1","APIP"
